k,epoch,training_loss,frozen
1,0,0.7246748399170463,True
1,1,0.5048910523848156,True
1,2,0.46262849897832214,True
1,3,0.44003324183966497,True
1,4,0.4216873252102176,True
1,5,0.40901575673876517,True
1,6,0.4024004695360618,True
1,7,0.39348148186798293,True
1,8,0.3848082263527624,True
1,9,0.3807486534080542,True
2,0,0.6652452840334009,True
2,1,0.47807040665765554,True
2,2,0.43480128842546506,True
2,3,0.41076142914459834,True
2,4,0.3992932421129073,True
2,5,0.38874103812991506,True
2,6,0.38230940295607235,True
2,7,0.37463714736882986,True
2,8,0.36728431313010435,True
2,9,0.36346887821888985,True
3,0,0.6760824819278839,True
3,1,0.4796447098407599,True
3,2,0.40603558197045875,True
3,3,0.36454154349044154,True
3,4,0.34043899919751963,True
3,5,0.321601645206399,True
3,6,0.3105144757596428,True
3,7,0.30146687837970226,True
3,8,0.2967015829537531,True
3,9,0.28993488286081176,True
4,0,0.6675184800496796,True
4,1,0.4901746916191657,True
4,2,0.4113153018762388,True
4,3,0.3667653729124447,True
4,4,0.3417877894266487,True
4,5,0.3232482577605016,True
4,6,0.31138061619628116,True
4,7,0.3034750947638241,True
4,8,0.29357148905087005,True
4,9,0.2886029873281489,True
5,0,0.681329519356913,True
5,1,0.43146088067680366,True
5,2,0.36816635470637277,True
5,3,0.33852508746068494,True
5,4,0.3196691078183901,True
5,5,0.30709932708298154,True
5,6,0.29912933467141806,True
5,7,0.2911140777246879,True
5,8,0.28499774006016726,True
5,9,0.27846073694622425,True
6,0,0.7760149286988446,True
6,1,0.5582951035188592,True
6,2,0.4536330868368563,True
6,3,0.42726474680254223,True
6,4,0.40989390863558217,True
6,5,0.4000506597139951,True
6,6,0.39130276679764014,True
6,7,0.3852592961067129,True
6,8,0.3801912208995246,True
6,9,0.37470045630508064,True
7,0,0.7140301113467082,True
7,1,0.47897610060699153,True
7,2,0.43636039516809955,True
7,3,0.41466160953197334,True
7,4,0.4031288905445572,True
7,5,0.39470434295551854,True
7,6,0.384624220926286,True
7,7,0.3811626826100947,True
7,8,0.3717329156253954,True
7,9,0.3688850371390962,True
8,0,0.7821267081038726,True
8,1,0.5947394418670698,True
8,2,0.45748639583130324,True
8,3,0.42717045770429285,True
8,4,0.41237809749134363,True
8,5,0.3991780437700584,True
8,6,0.38985094837749096,True
8,7,0.3830806367728106,True
8,8,0.37722930525574844,True
8,9,0.36877731679726744,True
1,0,0.5729984925759722,False
1,1,0.44198657759010335,False
1,2,0.4093138231988758,False
1,3,0.38899889708403734,False
1,4,0.3731306279864153,False
1,5,0.3649701792032213,False
1,6,0.3548229956222922,False
1,7,0.34604121007196736,False
1,8,0.33804498940630034,False
1,9,0.3290587754353233,False
2,0,0.560793810793201,False
2,1,0.4308787550005462,False
2,2,0.39799312107703266,False
2,3,0.3780733199832994,False
2,4,0.3630255948552085,False
2,5,0.3517825484390149,False
2,6,0.34367333323982974,False
2,7,0.3382436001049283,False
2,8,0.3298213156630926,False
2,9,0.3215811824440346,False
3,0,0.5723187519461298,False
3,1,0.43443324624577445,False
3,2,0.40575503468361046,False
3,3,0.38583961798025823,False
3,4,0.37085211600946344,False
3,5,0.35862110023532073,False
3,6,0.35147853919764616,False
3,7,0.3434875327760301,False
3,8,0.33546157286066536,False
3,9,0.32821987792277885,False
4,0,0.6238875108225571,False
4,1,0.43613571968987164,False
4,2,0.4033379260345798,False
4,3,0.3847616873776821,False
4,4,0.3701360042747634,False
4,5,0.3593496014471249,False
4,6,0.3515338454100177,False
4,7,0.3417069587065741,False
4,8,0.33229652285347205,False
4,9,0.3263976282780737,False
5,0,0.6536313991641145,False
5,1,0.4545823910352214,False
5,2,0.41492523698855543,False
5,3,0.3981830969338527,False
5,4,0.3803603628559796,False
5,5,0.3675049935727168,False
5,6,0.3579356858263845,False
5,7,0.34887738569694404,False
5,8,0.3419232486230333,False
5,9,0.33553412842476155,False
6,0,0.57596367601391,False
6,1,0.43948798270329187,False
6,2,0.40959297051972443,False
6,3,0.39108951233537,False
6,4,0.3761631349849579,False
6,5,0.36384262133132467,False
6,6,0.35768691715224626,False
6,7,0.3472284357566053,False
6,8,0.3402544559763216,False
6,9,0.3308851438410142,False
7,0,0.5475896563752533,False
7,1,0.4240715072092498,False
7,2,0.3938521037969138,False
7,3,0.3766552736920774,False
7,4,0.3645547846013018,False
7,5,0.3523517350482819,False
7,6,0.34303990787709765,False
7,7,0.3344427736480827,False
7,8,0.3261564284410623,False
7,9,0.32082941508887675,False
8,0,0.589526648564107,False
8,1,0.4151725102492306,False
8,2,0.37129966554510624,False
8,3,0.34648243278798546,False
8,4,0.32816852261419494,False
8,5,0.31409278090881265,False
8,6,0.3038365925516924,False
8,7,0.29272047283551883,False
8,8,0.2864223228353064,False
8,9,0.28115352992054143,False
